  1 | 101                1 1.700e-06 |
  2 |   2                3 4.280e-07 |
  3 | 103                3 3.680e-07 |
  4 |   3                4 3.290e-07 |
  5 |   4                6 5.270e-07 |
  6 |   4                6 1.030e-07 |
  7 |   5                8 3.780e-07 |
  8 |   5                9 3.580e-07 |
  9 |   5                7 3.380e-07 |
 10 |   6               10 6.760e-07 |
 11 |   6               11 8.460e-07 |
 12 |   6                9 3.680e-07 |
 13 |   7               13 3.980e-07 |
 14 |   7               15 3.980e-07 |
 15 |   7               15 3.970e-07 |
 16 |   7               11 3.090e-07 |
 17 |   8               15 3.780e-07 |
 18 |   8               17 3.580e-07 |
 19 |   8               18 3.880e-07 |
 20 |   8               15 3.380e-07 |
 21 |   9               20 1.024e-06 |
 22 |   9               23 4.970e-07 |
 23 |   9               22 4.580e-07 |
 24 |   9               19 5.170e-07 |
 25 |   9               13 4.470e-07 |
 26 |  10               15 4.580e-07 |
 27 |  10               16 5.660e-07 |
 28 |  10               14 4.480e-07 |
 29 |  11               17 4.970e-07 |
 30 |  11               18 4.280e-07 |
 31 |  11               16 3.380e-07 |
 32 |  12               19 4.170e-07 |
 33 |  12               20 4.270e-07 |
 34 |  12               19 3.880e-07 |
 35 |  12               16 3.480e-07 |
 36 |  13               18 3.680e-07 |
 37 |  13               19 4.327e-07 |
 38 |  13               17 3.090e-07 |
 39 |  14               19 3.580e-07 |
 40 |  14               20 2.584e-07 |
 41 |  14               18 2.300e-07 |
 42 |  15               20 2.843e-07 |
 43 |  15               21 1.170e-07 |
 44 |  15               19 3.480e-07 |
 45 |  16               21 1.440e-07 |
 46 |  16               22 3.680e-07 |
 47 |  16               20 3.580e-07 |
 48 |  17               23 4.400e-08 |
 49 |  17               23 3.880e-07 |
 50 |  17               21 3.680e-07 |
 55 |  20               26 1.253e-06 |
 60 |  22               28 7.660e-07 |
 65 |  23               28 5.470e-07 |
 70 |  25               36 5.870e-07 |
 75 |  26               39 6.860e-07 |
 80 |  27               46 6.470e-07 |
 85 |  28               48 6.660e-07 |
 90 |  29               41 8.250e-07 |
 95 |  31               39 6.760e-07 |
100 |  34               43 6.170e-07 |
110 |  38               49 1.770e-06 |
120 |  41               57 1.005e-06 |
130 |  43               65 8.550e-07 |
140 |  45               68 8.060e-07 |
150 |  47               70 9.240e-07 |
160 |  51               60 8.650e-07 |
170 |  56               66 8.360e-07 |
180 |  59               73 8.050e-07 |
190 |  61               85 9.450e-07 |
200 |  63               82 1.242e-06 |
220 |  69               79 1.929e-06 |
240 |  76               94 2.087e-06 |
260 |  80               94 1.054e-06 |
280 |  87               98 3.280e-07 |
300 |  95              112 1.103e-06 |
320 |  99              112 1.223e-06 |
340 | 108              125 2.400e-07 |
360 | 112              135 1.283e-06 |
380 | 116              144 1.391e-06 |
400 | 125              142 1.150e-06 |
420 | 130              151 3.171e-06 |
440 | 136              153 2.187e-06 |
460 | 143              161 2.734e-06 |
480 | 148              170 4.099e-06 |
500 | 155              172 1.310e-06 |
520 | 163              181 2.903e-06 |
540 | 168              207 3.530e-06 |
560 | 175              196 3.381e-06 |
580 | 181              207 2.840e-06 |
600 | 185              212 3.480e-06 |
620 | 192              214 1.650e-06 |
640 | 200              227 4.361e-06 |
660 | 205              231 3.490e-06 |
680 | 211              235 3.887e-06 |
700 | 220              249 3.669e-06 |
720 | 225              254 3.708e-06 |
740 | 234              263 4.106e-06 |
760 | 239              281 3.019e-06 |
780 | 243              281 3.170e-06 |
800 | 253              288 5.796e-06 |
